id,name,gender,year_of_birth,year_of_death,city_of_birth,state_of_birth,city_of_death,state_of_death,url
11963,"Phaophanit, Vong",M,1961,Unknown,Savannakhét,Lao,Unknown,Unknown,http://www.tate.org.uk/art/artists/vong-phaophanit-11963
11979,"Restiffe, Mauro",M,1970,Unknown,São Paulo,Brasil,Unknown,Unknown,http://www.tate.org.uk/art/artists/mauro-restiffe-11979
11980,"Gonzalez, Beatriz",F,1938,Unknown,Bucaramanga,Colombia,Unknown,Unknown,http://www.tate.org.uk/art/artists/beatriz-gonzalez-11980
11982,"Bruguera, Tania",F,1968,Unknown,La Habana,Cuba,Unknown,Unknown,http://www.tate.org.uk/art/artists/tania-bruguera-11982
11983,"Swain, Tony",M,1967,Unknown,Lisburn,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/tony-swain-11983
11984,"Téllez, Javier",M,1969,Unknown,Valencia,Venezuela,Unknown,Unknown,http://www.tate.org.uk/art/artists/javier-tellez-11984
12007,"Panting, John",M,1940,1974,New Zealand,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/john-panting-12007
12038,"Ballen, Roger",M,1950,Unknown,New York,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/roger-ballen-12038
12039,"Collier, Anne",F,1970,Unknown,Los Angeles,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/anne-collier-12039
12042,"Cullen, Martin",M,1967,Unknown,England,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/martin-cullen-12042
12043,"Erwitt, Elliot",M,1928,Unknown,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/elliot-erwitt-12043
12045,"Hervé, Lucien",M,1910,2007,Magyarország,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/lucien-herve-12045
12046,"Joyce, Paul",M,1944,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/paul-joyce-12046
12048,"Leung, Yau",M,1941,1997,Victoria,Zhonghua,Unknown,Unknown,http://www.tate.org.uk/art/artists/yau-leung-12048
12049,"Mitidieri, Dario",M,1959,Unknown,Italia,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/dario-mitidieri-12049
12051,"Salgado, Sebastião",M,1944,Unknown,Aimorés,Brasil,Unknown,Unknown,http://www.tate.org.uk/art/artists/sebastiao-salgado-12051
12052,"Smith, W. Eugene",M,1918,1978,Wichita,United States,Tucson,United States,http://www.tate.org.uk/art/artists/w-eugene-smith-12052
12053,"Suschitzky, Peter",M,1941,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/peter-suschitzky-12053
12074,"Dughet, Gaspard",Unknown,1615,1675,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/gaspard-dughet-12074
12108,"Chetwynd, Spartacus",F,1973,Unknown,Great Britain,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/spartacus-chetwynd-12108
12110,"Bill, Simon",M,1958,Unknown,Kingston-upon-Thames,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/simon-bill-12110
12111,"Reid, Jamie",M,1947,Unknown,Croydon,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/jamie-reid-12111
12112,"English, Simon",M,1959,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/simon-english-12112
12113,"Cantor, Ellen",F,1963,2013,Detroit,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/ellen-cantor-12113
12114,"Dant, Adam",M,1967,Unknown,Cambridge,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/adam-dant-12114
12116,"Hopton, Georgie",F,1967,Unknown,North Yorkshire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/georgie-hopton-12116
12117,"Miller, Harland",M,1964,Unknown,Yorkshire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/harland-miller-12117
12119,"Periton, Simon",M,1964,Unknown,Kent,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/simon-periton-12119
12131,"Smith, Keir",M,1950,2007,Gravesend,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/keir-smith-12131
12133,"Solakov, Nedko",M,1957,Unknown,Cherven Bryag,Bulgaria,Unknown,Unknown,http://www.tate.org.uk/art/artists/nedko-solakov-12133
12144,"Wilkes, Cathy",F,1966,Unknown,Belfast,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/cathy-wilkes-12144
12153,"Allen, Phillip",M,1967,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/phillip-allen-12153
12171,"Gupta, Subodh",M,1964,Unknown,Patna,Bharat,Unknown,Unknown,http://www.tate.org.uk/art/artists/subodh-gupta-12171
12186,"Vlahos, Vangelis",M,1971,Unknown,Athínai,Ellás,Unknown,Unknown,http://www.tate.org.uk/art/artists/vangelis-vlahos-12186
12243,"Smith, John",M,1952,Unknown,Walthamstow,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-smith-12243
12393,"Campbell, Duncan",M,1972,Unknown,Éire,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/duncan-campbell-12393
12441,"Osborn, Emily",F,1828,1925,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/emily-mary-osborn-12441
12475,"Anselmo, Giovanni",M,1934,Unknown,Piemonte,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/giovanni-anselmo-12475
12478,Swoon,F,1977,Unknown,New London,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/swoon-12478
12497,"Hlobo, Nicholas",M,1975,Unknown,Cape Town,South Africa,Unknown,Unknown,http://www.tate.org.uk/art/artists/nicholas-hlobo-12497
12520,"Allen, Richard",M,1933,1999,Worcestershire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-allen-12520
12525,"Merz, Marisa",F,1931,Unknown,Torino,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/marisa-merz-12525
12542,"Zorio, Gilberto",M,1944,Unknown,Andorno Micca,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/gilberto-zorio-12542
12556,"Cidade, Marcelo",M,1979,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/marcelo-cidade-12556
12577,"Simpson, Lorna",F,1960,Unknown,Brooklyn,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/lorna-simpson-12577
12580,"Savage, Jon",M,1953,Unknown,United Kingdom,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/jon-savage-12580
12583,"Anderson, Hurvin",M,1965,Unknown,Birmingham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/hurvin-anderson-12583
12600,"Plender, Olivia",Unknown,1977,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/olivia-plender-12600
12601,"Seers, Lindsay",F,1966,Unknown,Mauritius,Mauritius,Unknown,Unknown,http://www.tate.org.uk/art/artists/lindsay-seers-12601
12604,"Arcangel, Cory",M,1978,Unknown,Buffalo,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/cory-arcangel-12604
12618,"Kolárová, Bela",F,1923,2010,Terezín,Ceská Republika,Praha,Ceská Republika,http://www.tate.org.uk/art/artists/bela-kolarova-12618
12620,"Gunn, Sir Herbert James",M,1893,1964,Glasgow,United Kingdom,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/sir-herbert-james-gunn-12620
12631,"Dietman, Erik",M,1937,2002,Jönköping,Sverige,Paris,France,http://www.tate.org.uk/art/artists/erik-dietman-12631
12632,"Feldmann, Hans-Peter",M,1941,Unknown,Düsseldorf,Deutschland,Unknown,Unknown,http://www.tate.org.uk/art/artists/hans-peter-feldmann-12632
12638,"Leirner, Nelson",M,1932,Unknown,Brasil,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/nelson-leirner-12638
12678,"Piza, Arthur Luiz",M,1928,Unknown,São Paulo,Brasil,Unknown,Unknown,http://www.tate.org.uk/art/artists/arthur-luiz-piza-12678
12686,"Barham, Anna",F,1974,Unknown,Sutton Coldfield,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/anna-barham-12686
12796,"Suga, Kishio",M,1944,Unknown,Morioka,Nihon,Unknown,Unknown,http://www.tate.org.uk/art/artists/kishio-suga-12796
12799,"Suh, Do Ho",M,1962,Unknown,Soul,Taehan Min'guk,Unknown,Unknown,http://www.tate.org.uk/art/artists/do-ho-suh-12799
12834,"Kawara, On",M,1933,Unknown,Nihon,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/on-kawara-12834
12898,"Rideal, Liz",F,1954,Unknown,England,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/liz-rideal-12898
12913,"Green, Jesse",M,1979,Unknown,Boston,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/jesse-aron-green-12913
12918,"Baehnisch, Ruth",Unknown,1910,1997,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918
12923,"Sherwin, Guy",M,1948,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/guy-sherwin-12923
12939,"Ewan, Ruth",F,1980,Unknown,Aberdeen,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/ruth-ewan-12939
12947,"Sander, Gunther",Unknown,1907,1986,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/gunther-sander-12947
12965,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/unknown-12965
12979,"Szapocznikow, Alina",F,1926,1973,Kalisz,Polska,Haute-Savoie,France,http://www.tate.org.uk/art/artists/alina-szapocznikow-12979
12989,"Almeida, Helena",F,1934,Unknown,Lisboa,Portugal,Unknown,Unknown,http://www.tate.org.uk/art/artists/helena-almeida-12989
13004,"Moholy, Lucia",F,1894,1989,Ceská Republika,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/lucia-moholy-13004
13048,"Bo, Hou",F,1924,Unknown,Zhonghua,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/hou-bo-13048
13085,"Manuel, Antonio",M,1947,Unknown,Aveiro,Portugal,Unknown,Unknown,http://www.tate.org.uk/art/artists/antonio-manuel-13085
13086,"Downey, Juan",Unknown,1940,1993,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/juan-downey-13086
13098,"Sosnowska, Monika",Unknown,1972,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/monika-sosnowska-13098
13099,"Ziolkowski, Jakub Julian",Unknown,1980,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/jakub-julian-ziolkowski-13099
13100,"Zmijewski, Artur",M,1966,Unknown,Warszawa,Polska,Unknown,Unknown,http://www.tate.org.uk/art/artists/artur-zmijewski-13100
13108,"Hershman, Lynn",F,1941,Unknown,Cleveland,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/lynn-hershman-13108
13142,"Cruzvillegas, Abraham",M,1968,Unknown,Ciudad de México,México,Unknown,Unknown,http://www.tate.org.uk/art/artists/abraham-cruzvillegas-13142
13195,"Booth, L",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/l-booth-13195
13197,"Colvin, Calum",M,1961,Unknown,Glasgow,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/calum-colvin-13197
13198,"Feiler, Jo",F,1951,Unknown,United States,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/jo-allison-feiler-13198
13199,"Gidal, Tim",M,1909,1996,München,Deutschland,Yerushalayim,Yisra'el,http://www.tate.org.uk/art/artists/tim-gidal-13199
13286,"Wardill, Emily",F,1977,Unknown,Great Britain,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/emily-wardill-13286
13287,"Griffiths, Brian",M,1968,Unknown,Stratford-upon-Avon,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/brian-griffiths-13287
13288,"Ling, Simon",M,1968,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/simon-ling-13288
13334,"Huerta, Enrique",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/enrique-huerta-13334
13335,"Rivera, Emilio",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/emilio-rivera-13335
13353,"Davidson, Bruce",M,1933,Unknown,Oak Park,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/bruce-davidson-13353
13378,"Mofokeng, Santu",M,1956,Unknown,Johannesburg,South Africa,Unknown,Unknown,http://www.tate.org.uk/art/artists/santu-mofokeng-13378
13391,"Skaer, Lucy",F,1977,Unknown,Cambridge,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/lucy-skaer-13391
13424,"Rashed, Hani",M,1975,Unknown,Al-Qahirah,Misr,Unknown,Unknown,http://www.tate.org.uk/art/artists/hani-rashed-13424
13491,"Callahan, Harry",M,1912,1999,Detroit,United States,Atlanta,United States,http://www.tate.org.uk/art/artists/harry-callahan-13491
13509,"Ruwedel, Mark",M,1954,Unknown,Bethlehem,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/mark-ruwedel-13509
13568,"Goldstein, Jack",Unknown,1945,2003,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/jack-goldstein-13568
13597,"Epstein, Mitch",M,1952,Unknown,Holyoke,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/mitch-epstein-13597
13623,"Furlong, William",M,1944,Unknown,Woking,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-furlong-13623
13672,"Rechmaoui, Marwan",M,1964,Unknown,Bayrut,Al-Lubnan,Unknown,Unknown,http://www.tate.org.uk/art/artists/marwan-rechmaoui-13672
13673,"Mroué, Rabih",M,1967,Unknown,Bayrut,Al-Lubnan,Unknown,Unknown,http://www.tate.org.uk/art/artists/rabih-mroue-13673
13674,"Attia, Kader",M,1970,Unknown,Dugny,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/kader-attia-13674
13675,"Shawky, Wael",M,1971,Unknown,Misr,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/wael-shawky-13675
13676,"Eskandarfar, Samira",F,1980,Unknown,Tehran,Îran,Unknown,Unknown,http://www.tate.org.uk/art/artists/samira-eskandarfar-13676
13677,"Ansarinia, Nazgol",F,1979,Unknown,Tehran,Îran,Unknown,Unknown,http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677
13678,"Bakhshi Moakhar, Mahmoud",M,1977,Unknown,Tehran,Îran,Unknown,Unknown,http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678
13683,"Moore, Raymond",M,1920,1987,Wallasey,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/raymond-moore-13683
13685,"Huner, Emre",M,1977,Unknown,Istanbul,Türkiye,Unknown,Unknown,http://www.tate.org.uk/art/artists/emre-huner-13685
13711,"Blom, Ansuya",F,1956,Unknown,Groningen,Nederland,Unknown,Unknown,http://www.tate.org.uk/art/artists/ansuya-blom-13711
13714,"Maljkovic, David",M,1973,Unknown,Rijeka,Hrvatska,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-maljkovic-13714
13715,"Moore, Gareth",M,1975,Unknown,Matsqui,Canada,Unknown,Unknown,http://www.tate.org.uk/art/artists/gareth-moore-13715
13716,"Libera, Zbigniew",M,1959,Unknown,Pabianice,Polska,Unknown,Unknown,http://www.tate.org.uk/art/artists/zbigniew-libera-13716
13736,"Lacy, Suzanne",Unknown,1945,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/suzanne-lacy-13736
13751,"Unwin, Phoebe",F,1979,Unknown,Cambridge,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/phoebe-unwin-13751
13759,"Pak, Sheung Chuen",M,1977,Unknown,Fujian,Zhonghua,Unknown,Unknown,http://www.tate.org.uk/art/artists/pak-sheung-chuen-13759
13769,"Leirner, Jac",F,1961,Unknown,São Paulo,Brasil,Unknown,Unknown,http://www.tate.org.uk/art/artists/jac-leirner-13769
13771,"Zabala, Horacio",M,1943,Unknown,Buenos Aires,Argentina,Unknown,Unknown,http://www.tate.org.uk/art/artists/horacio-zabala-13771
